Thou  common-kissing !
Thou  dread-bolted mammet!
Thou  elf-skinned pumpion!
Thou  fly-bitten !
Thou  fly-bitten flap-dragon!
Thou  fool-born codpiece!
Thou  full-gorged giglet!
Thou  half-faced mammet!
Thou  half-faced pignut!
Thou  hell-hated baggage!
Thou  idle-headed clack-dish!
Thou  reeling-ripe mammet!
Thou  rump-fed measle!
Thou  shard-borne nut-hook!
Thou  spur-galled moldwarp!
Thou  swag-bellied bladder!
Thou  swag-bellied mammet!
Thou  tardy-gaited mumble-news!
Thou  tickle-brained hugger-mugger!
Thou  weather-bitten scut!
Thou bawdy  hedge-pig!
Thou bawdy clapper-clawed joithead!
Thou bawdy common-kissing hugger-mugger!
Thou bawdy crook-pated strumpet!
Thou bawdy doghearted horn-beast!
Thou bawdy fat-kidneyed foot-licker!
Thou bawdy fen-sucked pigeon-egg!
Thou bawdy fly-bitten bugbear!
Thou bawdy folly-fallen pumpion!
Thou bawdy folly-fallen vassal!
Thou bawdy half-faced puttock!
Thou bawdy hasty-witted ratsbane!
Thou bawdy hedge-born moldwarp!
Thou bawdy ill-breeding barnacle!
Thou bawdy milk-livered fustilarian!
Thou bawdy motley-minded !
Thou bawdy pottle-deep haggard!
Thou bawdy pox-marked gudgeon!
Thou bawdy reeling-ripe vassal!
Thou bawdy rude-growing clack-dish!
Thou bawdy rump-fed pumpion!
Thou bawdy spur-galled coxcomb!
Thou bawdy spur-galled hugger-mugger!
Thou bawdy tickle-brained puttock!
Thou bawdy toad-spotted baggage!
Thou bawdy unchin-snouted moldwarp!
Thou bawdy weather-bitten nut-hook!
Thou beslubbering  bum-bailey!
Thou beslubbering boil-brained ratsbane!
Thou beslubbering clay-brained horn-beast!
Thou beslubbering crook-pated canker-blossom!
Thou beslubbering dismal-dreaming dewberry!
Thou beslubbering dizzy-eyed bladder!
Thou beslubbering elf-skinned strumpet!
Thou beslubbering folly-fallen flax-wench!
Thou beslubbering full-gorged fustilarian!
Thou beslubbering idle-headed nut-hook!
Thou beslubbering ill-nurtured lewdster!
Thou beslubbering milk-livered baggage!
Thou beslubbering plume-plucked pigeon-egg!
Thou beslubbering plume-plucked vassal!
Thou beslubbering pox-marked joithead!
Thou beslubbering rump-fed clack-dish!
Thou beslubbering sheep-biting pigeon-egg!
Thou beslubbering tickle-brained coxcomb!
Thou bootless  bugbear!
Thou bootless beetle-headed clotpole!
Thou bootless clay-brained boar-pig!
Thou bootless clay-brained clotpole!
Thou bootless dizzy-eyed joithead!
Thou bootless dread-bolted baggage!
Thou bootless elf-skinned !
Thou bootless fly-bitten maggot-pie!
Thou bootless folly-fallen vassal!
Thou bootless full-gorged giglet!
Thou bootless guts-griping joithead!
Thou bootless guts-griping moldwarp!
Thou bootless hell-hated hedge-pig!
Thou bootless idle-headed codpiece!
Thou bootless ill-nurtured puttock!
Thou bootless motley-minded hugger-mugger!
Thou bootless pottle-deep strumpet!
Thou bootless tardy-gaited coxcomb!
Thou bootless toad-spotted measle!
Thou bootless unchin-snouted nut-hook!
